id,firsName,LastName,displayName,teamName
807,Acie,Earl,Acie Earl,Boston Celtics
808,Dino,Radja,Dino Radja,Boston Celtics
809,Chris,Mills,Chris Mills,Cleveland Cavaliers
810,Vin,Baker,Vin Baker,Milwaukee Bucks
811,Antonio,Harvey,Antonio Harvey,Los Angeles Lakers
812,Nick,Van Exel,Nick Van Exel,Los Angeles Lakers
813,Terry,Dehere,Terry Dehere,LA Clippers
814,James,Robinson,James Robinson,Portland Trail Blazers
815,Corie,Blount,Corie Blount,Chicago Bulls
816,Toni,Kukoc,Toni Kukoc,Chicago Bulls
817,Michael,Curry,Michael Curry,Philadelphia 76ers
818,Shawn,Bradley,Shawn Bradley,Philadelphia 76ers
819,Warren,Kidd,Warren Kidd,Philadelphia 76ers
820,Calbert,Cheaney,Calbert Cheaney,Washington Wizards
821,Mitchell,Butler,Mitchell Butler,Washington Wizards
822,Tito,Horford,Tito Horford,Washington Wizards
823,Bryon,Russell,Bryon Russell,Utah Jazz
824,Luther,Wright,Luther Wright,Utah Jazz
825,Darren,Morningstar,Darren Morningstar,Dallas Mavericks
826,Jamal,Mashburn,Jamal Mashburn,Dallas Mavericks
827,Lucious,Harris,Lucious Harris,Dallas Mavericks
828,Popeye,Jones,Popeye Jones,Dallas Mavericks
829,Eric,Riley,Eric Riley,Houston Rockets
830,Sam,Cassell,Sam Cassell,Houston Rockets
831,P.J.,Brown,P.J. Brown,Brooklyn Nets
832,Rex,Walters,Rex Walters,Brooklyn Nets
833,Antonio,Davis,Antonio Davis,Indiana Pacers
834,Allan,Houston,Allan Houston,Detroit Pistons
835,Lindsey,Hunter,Lindsey Hunter,Detroit Pistons
836,Brian,Davis,Brian Davis,Minnesota Timberwolves
837,Isaiah,Rider,Isaiah Rider,Minnesota Timberwolves
838,Matt,Wenstrom,Matt Wenstrom,Boston Celtics
839,Scott,Haskin,Scott Haskin,Indiana Pacers
840,Gerald,Madkins,Gerald Madkins,Cleveland Cavaliers
841,Greg,Graham,Greg Graham,Philadelphia 76ers
842,Ervin,Johnson,Ervin Johnson,Oklahoma City Thunder
843,George,Lynch,George Lynch,Los Angeles Lakers
844,Bob,Martin,Bob Martin,LA Clippers
845,Ricky,Grace,Ricky Grace,Atlanta Hawks
846,Sedric,Toney,Sedric Toney,Cleveland Cavaliers
847,Chris,Webber,Chris Webber,Golden State Warriors
848,Gheorghe,Muresan,Gheorghe Muresan,Washington Wizards
849,Richard,Petruska,Richard Petruska,Houston Rockets
850,Kevin,Thompson,Kevin Thompson,Portland Trail Blazers
851,Adonis,Jordan,Adonis Jordan,Denver Nuggets
852,Scott,Burrell,Scott Burrell,Charlotte Hornets
853,Dell,Demps,Dell Demps,Golden State Warriors
854,Evers,Burns,Evers Burns,Sacramento Kings
